VALOR PRED.;ORDEN DE RETIRO;FECHA RETIRO OCA;COD. PRODUCTO;CANTIDAD;PRODUCTO;DTO %;FECHA COMPRA;PROVINCIA;LOCALIDAD;PLATAFORMA
1;90062343;18/6/2021;;3;ALMOHADAS L.VISCOÉLASTICA 70CM;PROMO 3X2;11/6/2021;BUENOS AIRES;mercedes;ecommerce
;;18/6/2021;;1;CONJUNTO L. SANZIO TRADICIONAL 90CMX190CM;$ 0,00;11/6/2021;BUENOS AIRES;;ecommerce
1;89997089;15/6/2021;;3;ALMOHADAS L.VISCOÉLASTICA 70CM;PROMO 3X2;11/6/2021;MISIONES;MONTECARLO;ecommerce
1;90062627;18/6/2021;;1;COLCHÓN L. SANZIO TRADICIONAL 90CMX190CM;$ 0,00;12/6/2021;MENDOZA;LA DORMIDA;ecommerce
1;89997120;15/6/2021;;1;ALMOHADAS L.PLACA 70CM;$ 0,00;12/6/2021;SANTA FE;SANTA FE;ecommerce
;;15/6/2021;;1;ALMOHADAS L.SUPER SOFT 80CM;$ 0,00;12/6/2021;SANTA FE;;ecommerce
1;90065317;18/6/2021;;1;BAULERA SPACE GOLD;$ 0,00;12/6/2021;SANTA FE;Rosario;ecommerce
1;90062974;18/6/2021;;1;CONJUNTO L. SANZIO TRADICIONAL 140CMX190CM;$ 0,00;12/6/2021;SANTA FE;Rosario;ecommerce
1;90063425;18/6/2021;;1;CONJUNTO L. SANZIO TRADICIONAL 140CMX190CM;$ 0,00;12/6/2021;FORMOSA;FORMOSA;ecommerce
1;90063726;18/6/2021;;1;CONJUNTO L. DALI TRADICIONAL 80CMX190CM;$ 0,00;12/6/2021;SALTA;TARTAGAL;ecommerce
1;90063938;18/6/2021;;1;COLCHÓN L. DALI TRADICIONAL 80CMX190CM;$ 0,00;12/6/2021;MISIONES;SAN JAVIER;ecommerce
1;90064103;18/6/2021;;1;COLCHÓN L. SANZIO TRADICIONAL 90CMX190CM;$ 0,00;12/6/2021;BUENOS AIRES;PUNTA ALTA;ecommerce
1;-;19/6/2021;;1;COLCHÓN L. DALI TRADICIONAL 90CMX190CM;$ 0,00;13/6/2021;SANTA FE;RAFAELA;ecommerce
1;90064381;18/6/2021;;1;COLCHÓN L. SANZIO TRADICIONAL 140CMX190CM;$ 0,00;13/6/2021;BUENOS AIRES;MAR DEL PLATA;ecommerce
1;90074570;18/6/2021;;1;COLCHÓN L. SANZIO TRADICIONAL 140CMX190CM;$ 0,00;13/6/2021;MENDOZA; Malargüe;ecommerce
1;90020000;15/6/2021;;3;ALMOHADAS L.VISCOÉLASTICA 70CM;$ 0,00;14/6/2021;SANTA CRUZ;PERITO MORENO;ecommerce
1;-;15/6/2021;;3;ALMOHADAS L.VISCOÉLASTICA 70CM;PROMO 3X2;14/6/2021;SANTA FE;RAFAELA;ecommerce
1;90094201;18/6/2021;;1;COLCHÓN L. DALI TRADICIONAL 80CMX190CM;$ 0,00;15/6/2021;BUENOS AIRES;TRES ARROYOS;ecommerce
1;90094876;18/6/2021;;1;ALMOHADAS L.COPO 70CM;$ 0,00;15/6/2021;CORRIENTES;BELLA VISTA;ecommerce
;;18/6/2021;;1;ALMOHADAS L.PLACA 70CM;$ 0,00;15/6/2021;CORRIENTES;;ecommerce
;;18/6/2021;;1;ALMOHADAS L.PLACA 70CM;$ 0,00;15/6/2021;CORRIENTES;;ecommerce
1;-;19/6/2021;;1;COLCHÓN L. REMBRANDT TRADICIONAL 160CMX200CM;$ 0,00;15/6/2021;SANTA FE;RAFAELA;ecommerce
1;90154002;23/6/2021;;1;COLCHÓN L. SANZIO TRADICIONAL 140CMX190CM;$ 0,00;18/6/2021;SANTA FE;FRONTERA;ecommerce
1;90207898;23/6/2021;;3;ALMOHADAS L.VISCOÉLASTICA 70CM;PROMO 3X2;19/6/2021;SANTA FE;EUSEBIA;ecommerce
1;-;28/6/2021;;1;CONJUNTO L. SANZIO TRADICIONAL 90CMX190CM;$ 0,00;24/6/2021;SANTA FE;RAFAELA;ecommerce
1;90305542;30/6/2021;;2;COLCHÓN L. SANZIO TRADICIONAL 80CMX190CM;$ 0,00;24/6/2021;JUJUY;SAN SALVADOR DE JUJUY;ecommerce
1;90317724;30/6/2021;;1;COLCHÓN L. SANZIO TRADICIONAL 100CMX190CM;$ 2.369,35;25/6/2021;CÓRDOBA;SAN FRANCISCO;ecommerce
1;90333318;30/6/2021;;1;COLCHÓN L. SANZIO TRADICIONAL 90CMX190CM;$ 0,00;25/6/2021;MENDOZA;Los Barriales, Junín.;ecommerce
;;30/6/2021;;3;ALMOHADAS L.VISCOÉLASTICA 70CM;PROMO 3X2;25/6/2021;MENDOZA;;ecommerce
1;90332731;30/6/2021;;1;COLCHÓN L. SANZIO TRADICIONAL 90CMX190CM;$ 0,00;25/6/2021;CÓRDOBA;San Francisco;ecommerce
;;30/6/2021;;1;ALMOHADAS L.VISCOÉLASTICA 70CM;$ 0,00;25/6/2021;CÓRDOBA;;ecommerce
1;90332824;30/6/2021;;1;CONJUNTO L. DA VINCI TRADICIONAL 200CMX200CM;$ 0,00;25/6/2021;LA PAMPA;Santa Isabel;ecommerce
1;90332932;30/6/2021;;2;COLCHÓN L. DALI TRADICIONAL 80CMX190CM;$ 0,00;25/6/2021;SANTA FE;PILAR;ecommerce
1;90352311;30/6/2021;;1;COLCHÓN L. SANZIO TRADICIONAL 80CMX190CM;$ 0,00;26/6/2021;BUENOS AIRES;El Triunfo;ecommerce
1;90353601;30/6/2021;;2;COLCHÓN L. SANZIO TRADICIONAL 90CMX190CM;$ 0,00;26/6/2021;CÓRDOBA;CARLOS PAZ;ecommerce
1;90354433;30/6/2021;;1;COLCHÓN L. REMBRANDT TRADICIONAL 160CMX200CM;$ 0,00;26/6/2021;BUENOS AIRES;MAR DEL PLATA;ecommerce
1;90353904;30/6/2021;;2;COLCHÓN L. SANZIO TRADICIONAL 80CMX190CM;$ 0,00;27/6/2021;SANTA FE;ROLDAN;ecommerce
1;90353004;30/6/2021;;1;COLCHÓN L. SANZIO TRADICIONAL 140CMX190CM;$ 0,00;28/6/2021;JUJUY;San Pedro;ecommerce
1;90364189;30/6/2021;;1;COLCHÓN L. DALI TRADICIONAL 80CMX190CM;$ 0,00;28/6/2021;CÓRDOBA;Villa Santa Rosa;ecommerce
1;90390771;30/6/2021;;1;CONJUNTO L. DALI TRADICIONAL 100CMX190CM;$ 0,00;28/6/2021;SANTA CRUZ;Rio gallegos;ecommerce
1;90421605;2/7/2021;;1;CONJUNTO L. DALI TRADICIONAL 100CMX190CM;$ 0,00;29/6/2021;CATAMARCA;San Fernando del valle de Catamarca;ecommerce
1;90421927;2/7/2021;;1;COLCHÓN L. DALI TRADICIONAL 80CMX190CM;$ 0,00;29/6/2021;NEUQUÉN;Chos malal;ecommerce
1;90422218;2/7/2021;;1;CONJUNTO L. DALI TRADICIONAL 80CMX190CM;$ 0,00;29/6/2021;FORMOSA;FORMOSA;ecommerce
1;90422793;2/7/2021;;3;ALMOHADAS L.VISCOÉLASTICA 70CM;PROMO 3X2;30/6/2021;ENTRE RÍOS;Concepción del Uruguay;ecommerce
